filename,rows,missing_or_invalid,min,max,mean,std,damage,file_number
train01.csv,581119,0,-19.34373,39.39125,5.93508735525458,8.63142384580031,0.103662995,1
train02.csv,581119,0,-37.650806,25.297182,-7.732041671033933,10.753985486178093,0.149208849,2
train03.csv,581119,0,-28.079456,29.944937,1.92678905927689,9.019787526703245,0.111297606,3
train04.csv,581119,0,-54.09785,38.48947,-2.477909930493852,6.969856639826562,0.894736481,4
train05.csv,581119,0,-19.364319,29.429405,3.0746032680515656,8.830389194078561,0.054740135,5
train06.csv,581119,0,-44.113018,40.77429,-6.897793046164271,10.940576474281867,0.467359393,6
train07.csv,581119,0,-24.620083,21.027306,-0.013323827368157373,7.273806592072633,0.028737481,7
train08.csv,581119,0,-25.758049,28.776934,1.3630183773715387,8.907257512126883,0.078418334,8
train09.csv,581119,0,-15.130052,31.197628,3.9683686389642827,2.884122602964096,0.033628754,9
train10.csv,581119,0,-51.528698,36.99815,-3.1447184086756623,15.500449161328001,0.716510036,10
train11.csv,581119,0,-13.06952,32.471573,7.935486382775874,4.631801681909349,0.056409053,11
train12.csv,581119,0,-36.812668,21.858004,-1.5447677429378621,4.242999490923526,0.054978382,12
train13.csv,581119,0,-21.768717,19.656631,0.02031937670106163,2.918791121417736,0.028620288,13
train14.csv,581119,0,-20.387941,18.265228,-2.9095897697817525,2.9012326869788456,0.035544524,14
train15.csv,581119,0,-31.82583,23.473158,-4.0973173985500875,4.9746558304602155,0.051323979,15
train16.csv,581119,0,-55.69706,28.331377,-6.395624914286453,9.942531782239467,0.61202604,16
train17.csv,581119,0,-49.495808,28.950016,-6.190607938086461,10.358199838335153,0.423558906,17
train18.csv,581119,0,-34.129246,37.60297,4.06195745935935,10.873324355161223,0.375658256,18
train19.csv,581119,0,-18.483664,19.99518,-0.015162702934760044,3.1031902586241085,0.033974091,19
train20.csv,581119,0,-39.69805,23.130886,-8.254097429855547,9.115644403701788,0.115031186,20
train21.csv,581119,0,-33.045036,24.541424,-0.14194085386053049,3.9244894937448076,0.056276601,21
train22.csv,581119,0,-31.297544,19.932467,-4.087057645149712,6.811866787814696,0.080670606,22
train23.csv,581119,0,-49.762604,43.288166,4.420357243242817,11.76627138596379,0.789624017,23
train24.csv,581119,0,-29.688766,21.315899,-4.560238668517816,4.285554467912304,0.060708901,24
train25.csv,581119,0,-26.64341,23.978592,-0.6673773338044818,8.565888118181938,0.057598512,25
train26.csv,581119,0,-19.981361,18.880144,-1.4719452128687764,2.432371173601017,0.028622651,26
train27.csv,581119,0,-46.995743,44.42659,2.618633548120164,10.947339217345593,0.672913029,27
train28.csv,581119,0,-33.05301,29.02336,0.13183590947780244,10.87052266942779,0.159309086,28
train29.csv,581119,0,-23.306274,28.531746,2.539486827108277,8.541677872379053,0.045191049,29
train30.csv,581119,0,-35.58496,22.073782,-10.087536212195541,8.38635500397296,0.09275185,30
train31.csv,581119,0,-61.633114,33.649857,-13.866898214098155,15.550467929353493,0.928338975,31
